,강릉,강화,거제,거창,고흥,광주,구미,군산,금산,남원,남해,대관령,대구,대전,목포,문경,밀양,보령,보은,부산,부안,부여,산청,서귀포,서산,서울,성산,속초,수원,양평,여수,영덕,영주,영천,완도,울산,울진,원주,의성,이천,인제,인천,임실,장흥,전주,정읍,제주,제천,진주,천안,청주,추풍령,춘천,충주,통영,포항,합천,해남,홍천
1981,76.1,88.7,60.95,96.98,82.02,62.12,84.78,64.95,97.0,92.74,58.26,75.68,57.46,70.76,42.02,95.58,80.96,77.62,97.02,23.59,80.9,86.74,90.68,0.0,79.21,62.28,29.84,84.5,71.72,89.76,23.05,89.87,97.04,91.9,37.3,56.24,86.74,87.22,96.71,85.95,97.05,64.76,97.0,86.43,71.56,79.18,0.0,96.98,76.21,85.01,71.29,94.29,87.01,86.2,30.46,42.4,83.0,80.32,96.91
1982,63.36,78.93,51.95,91.6,68.67,41.57,80.49,45.82,85.94,77.96,39.52,83.54,47.99,60.52,24.12,86.27,76.37,67.0,90.6,14.56,67.58,72.26,76.1,0.0,69.65,51.82,10.97,77.72,61.48,78.69,13.3,82.1,91.3,87.88,19.95,47.74,79.24,76.22,95.21,75.16,97.01,52.31,93.46,72.38,58.39,66.45,0.0,96.93,71.9,74.45,61.24,90.3,76.78,75.5,21.42,34.33,78.78,65.97,90.15
1983,71.0,88.36,54.71,96.96,78.28,49.2,85.56,54.26,96.5,88.34,47.52,82.29,51.14,70.9,31.86,95.25,81.42,77.53,97.06,17.58,77.33,82.39,86.56,0.0,79.8,62.08,18.82,84.74,71.82,90.38,13.35,90.04,97.04,92.52,26.42,51.18,87.0,87.87,96.73,85.94,97.07,61.74,97.0,82.32,67.32,76.13,0.0,96.99,76.84,85.1,72.32,94.9,87.79,87.0,24.36,37.61,83.65,76.18,96.94
1984,57.23,80.94,43.46,96.2,72.62,47.65,75.26,51.75,90.1,82.23,45.06,86.26,39.24,62.55,29.82,83.84,71.91,69.14,93.2,10.46,71.32,76.4,80.16,0.0,71.56,55.07,6.89,75.02,63.82,81.6,16.07,79.09,89.46,82.82,25.28,39.52,77.0,78.7,93.38,77.38,97.01,57.77,96.96,76.54,62.08,70.04,0.0,96.34,67.26,76.65,62.94,85.57,79.13,77.86,14.86,26.32,73.58,70.15,92.7
1985,39.06,71.97,25.34,77.16,47.24,27.07,62.2,31.08,71.76,63.51,22.6,95.12,28.3,51.14,15.93,75.11,58.44,57.46,82.91,6.14,52.9,59.26,62.6,0.0,62.18,37.84,1.44,58.97,54.65,71.46,4.73,67.02,80.34,68.58,10.05,25.03,60.78,68.48,83.34,67.91,88.66,37.93,78.64,58.14,37.74,48.41,0.0,86.9,54.19,67.1,53.61,72.65,69.26,68.02,11.59,17.73,60.08,44.0,81.5
1986,61.4,86.2,45.84,97.08,72.9,47.73,76.03,52.12,90.48,82.1,45.5,84.22,41.56,68.26,29.58,87.56,72.22,74.73,96.96,11.7,72.36,77.03,80.91,0.0,76.98,59.15,14.04,78.28,69.04,86.84,15.04,82.32,92.6,83.23,25.33,41.74,79.9,84.3,96.57,83.22,97.04,59.0,96.96,76.41,62.65,70.66,0.0,96.96,67.66,82.42,68.56,86.48,84.44,83.58,17.26,28.56,74.4,70.58,96.83
1987,72.4,87.88,62.18,96.94,81.44,62.54,85.7,65.58,96.96,92.35,57.88,79.53,59.14,70.13,40.95,92.54,81.6,76.4,96.97,24.55,80.03,86.26,89.54,0.0,79.08,61.5,34.76,81.28,71.58,89.98,22.5,87.04,96.98,92.48,36.94,58.76,84.02,86.56,96.63,85.26,97.0,62.44,96.97,86.0,70.87,78.58,0.0,96.92,77.06,84.6,71.04,95.1,86.72,85.82,31.7,44.84,83.68,79.6,96.86
1988,31.38,72.02,20.24,74.17,40.16,22.48,59.34,25.83,68.41,60.06,18.12,97.34,22.46,43.66,11.55,72.82,55.71,50.64,81.66,0.0,44.11,55.68,57.69,0.0,61.98,30.48,0.0,51.48,51.12,70.29,0.0,60.05,78.19,65.46,5.9,18.93,53.44,67.67,80.82,67.12,86.32,30.74,75.21,50.44,32.51,40.23,0.0,84.45,48.28,66.5,48.56,69.72,68.69,67.2,5.5,10.94,57.35,36.08,80.81
1989,65.28,77.67,44.72,91.34,61.92,33.07,78.44,37.18,85.46,77.57,30.24,85.65,40.34,57.5,16.0,94.2,74.53,64.22,88.68,7.41,65.24,72.06,75.67,0.0,68.32,41.92,7.75,82.07,60.37,77.18,4.54,88.54,97.04,85.57,11.47,40.78,83.44,74.56,96.72,73.83,97.06,43.22,93.19,72.1,48.64,62.66,0.0,96.98,70.02,73.14,59.58,88.28,75.24,73.99,14.92,27.48,76.47,58.98,88.09
1990,30.4,67.26,22.09,71.91,37.75,22.22,63.73,26.15,66.44,58.53,18.42,97.39,23.18,41.96,11.6,72.98,60.74,48.16,78.23,0.25,42.8,53.77,55.53,0.0,57.37,33.48,0.0,50.6,49.5,66.84,0.24,59.44,78.14,70.35,5.8,19.88,52.78,63.48,81.18,63.36,85.92,32.46,73.54,48.38,32.74,38.96,0.0,84.62,53.49,62.26,46.89,74.28,64.69,63.81,6.54,12.28,61.82,34.24,76.36
