,Year,Mon,tmax,tmin
4017,1980,1,6.3,-2.3
4018,1980,1,8.3,5.1
4019,1980,1,5.9,2.3
4020,1980,1,3.1,-3.8
4021,1980,1,-0.1,-8.5
4022,1980,1,4.5,-5.4
4023,1980,1,-3.1,-10.2
4024,1980,1,2.2,-9.1
4025,1980,1,8.1,-3.0
4026,1980,1,1.4,-7.0
4027,1980,1,-1.5,-11.0
4028,1980,1,2.8,-10.3
4029,1980,1,2.3,-4.4
4030,1980,1,0.3,-9.0
4031,1980,1,-0.5,-9.7
4032,1980,1,2.0,-10.1
4033,1980,1,-5.0,-14.0
4034,1980,1,-3.5,-15.8
4035,1980,1,0.3,-8.6
4036,1980,1,-0.1,-6.3
4037,1980,1,-2.0,-12.2
4038,1980,1,-0.7,-9.8
4039,1980,1,4.6,-10.2
4040,1980,1,4.0,-6.8
4041,1980,1,4.5,-9.2
4042,1980,1,8.9,-7.8
4043,1980,1,11.7,-0.9
4044,1980,1,12.9,1.8
4045,1980,1,5.6,0.4
4046,1980,1,0.5,-9.6
4047,1980,1,-5.0,-11.0
4048,1980,2,-4.0,-12.2
4049,1980,2,-0.8,-10.1
4050,1980,2,0.1,-5.9
4051,1980,2,-5.3,-11.3
4052,1980,2,-5.0,-10.7
4053,1980,2,-5.1,-12.1
4054,1980,2,-5.0,-15.2
4055,1980,2,-4.4,-14.0
4056,1980,2,-1.3,-13.0
4057,1980,2,1.1,-6.7
4058,1980,2,4.6,-4.6
4059,1980,2,1.3,-7.5
4060,1980,2,1.0,-8.2
4061,1980,2,-0.6,-7.3
4062,1980,2,2.1,-7.8
4063,1980,2,3.9,-9.2
4064,1980,2,5.4,-9.7
4065,1980,2,1.2,-6.0
4066,1980,2,4.8,-4.6
4067,1980,2,7.5,-4.4
4068,1980,2,6.3,-4.5
4069,1980,2,6.5,-7.7
4070,1980,2,9.3,0.3
4071,1980,2,11.5,-1.6
4072,1980,2,12.8,-2.4
4073,1980,2,12.4,0.9
4074,1980,2,7.5,-3.5
4075,1980,2,10.1,-1.0
4076,1980,2,12.5,-2.1
4077,1980,3,7.1,-0.5
4078,1980,3,9.8,-4.7
4079,1980,3,12.2,-2.5
4080,1980,3,9.6,0.6
4081,1980,3,10.3,0.8
4082,1980,3,11.6,-2.6
4083,1980,3,15.2,4.2
