,Year,Mon,tmax,tmin
3427,1980,6,21.1,16.9
3428,1980,6,19.8,16.5
3429,1980,6,24.6,16.4
3430,1980,6,25.1,17.4
3431,1980,6,22.9,18.9
3432,1980,6,23.3,19.4
3433,1980,6,24.1,18.9
3434,1980,6,24.3,18.5
3435,1980,6,27.0,18.8
3436,1980,6,26.2,18.9
3437,1980,6,26.1,19.4
3438,1980,6,20.2,17.9
3439,1980,7,21.0,18.2
3440,1980,7,24.0,19.1
3441,1980,7,21.9,18.7
3442,1980,7,21.9,17.4
3443,1980,7,23.6,18.4
3444,1980,7,23.7,18.8
3445,1980,7,26.8,17.4
3446,1980,7,25.5,19.4
3447,1980,7,23.1,20.0
3448,1980,7,22.2,20.3
3449,1980,7,25.3,18.7
3450,1980,7,24.2,18.9
3451,1980,7,21.6,19.4
3452,1980,7,25.5,19.6
3453,1980,7,27.7,19.6
3454,1980,7,23.5,19.6
3455,1980,7,20.5,18.9
3456,1980,7,24.0,19.9
3457,1980,7,25.2,21.4
3458,1980,7,28.0,23.3
3459,1980,7,30.4,21.8
3460,1980,7,29.5,24.2
3461,1980,7,27.0,19.8
3462,1980,7,30.8,17.6
3463,1980,7,25.1,20.2
3464,1980,7,27.8,21.8
3465,1980,7,26.4,20.1
3466,1980,7,25.6,22.3
3467,1980,7,23.5,21.8
3468,1980,7,24.5,20.4
3469,1980,7,24.3,19.8
3470,1980,8,24.9,19.1
3471,1980,8,26.2,17.4
3472,1980,8,26.6,18.7
3473,1980,8,26.6,18.7
3474,1980,8,23.5,19.6
3475,1980,8,23.4,19.6
3476,1980,8,21.4,20.0
3477,1980,8,25.0,20.4
3478,1980,8,26.4,19.0
3479,1980,8,27.3,19.4
3480,1980,8,26.5,19.4
3481,1980,8,24.8,20.4
3482,1980,8,25.4,22.6
3483,1980,8,24.8,21.4
3484,1980,8,23.4,20.6
3485,1980,8,25.4,20.8
3486,1980,8,23.4,21.6
3487,1980,8,25.3,20.6
3488,1980,8,27.1,20.5
3489,1980,8,27.2,22.0
3490,1980,8,27.3,21.7
3491,1980,8,26.2,21.4
3492,1980,8,29.1,20.2
3493,1980,8,26.5,20.8
3494,1980,8,25.9,20.5
3495,1980,8,27.0,21.5
3496,1980,8,26.4,20.6
3497,1980,8,23.9,20.3
3498,1980,8,22.8,20.5
3499,1980,8,26.7,20.8
3500,1980,8,27.7,20.5
3501,1980,9,27.9,20.0
3502,1980,9,27.8,22.4
3503,1980,9,29.8,18.6
3504,1980,9,27.1,18.4
3505,1980,9,27.0,19.4
3506,1980,9,24.4,18.2
3507,1980,9,25.7,17.2
3508,1980,9,26.4,17.9
3509,1980,9,26.0,19.9
3510,1980,9,22.5,19.1
3511,1980,9,23.8,17.3
3512,1980,9,26.8,18.4
3513,1980,9,27.0,17.4
3514,1980,9,26.0,15.9
3515,1980,9,26.7,16.1
3516,1980,9,27.0,18.3
3517,1980,9,25.2,16.1
3518,1980,9,25.8,15.4
3519,1980,9,22.4,16.4
3520,1980,9,26.3,17.8
3521,1980,9,21.5,17.9
3522,1980,9,20.2,14.7
3523,1980,9,21.6,13.9
3524,1980,9,21.0,13.8
3525,1980,9,22.9,13.1
3526,1980,9,24.9,12.3
3527,1980,9,24.7,14.2
3528,1980,9,24.2,14.9
3529,1980,9,25.8,15.1
3530,1980,9,23.1,14.5
3531,1980,10,23.5,11.9
3532,1980,10,24.1,12.5
3533,1980,10,24.7,13.9
3534,1980,10,24.0,17.6
3535,1980,10,22.8,19.5
3536,1980,10,21.0,18.4
3537,1980,10,24.4,18.4
3538,1980,10,25.1,14.7
3539,1980,10,22.2,13.9
3540,1980,10,20.2,17.4
3541,1980,10,22.8,18.5
3542,1980,10,21.8,17.1
3543,1980,10,19.5,17.2
3544,1980,10,20.2,12.4
3545,1980,10,21.1,10.4
3546,1980,10,19.6,12.9
3547,1980,10,23.2,15.0
3548,1980,10,17.9,14.7
3549,1980,10,23.1,14.9
3550,1980,10,22.9,12.5
3551,1980,10,16.5,8.0
3552,1980,10,16.3,5.0
3553,1980,10,18.3,6.0
3554,1980,10,15.1,12.7
3555,1980,10,17.2,5.2
3556,1980,10,13.5,4.2
3557,1980,10,14.0,7.8
3558,1980,10,17.1,5.0
3559,1980,10,18.0,6.3
3560,1980,10,16.9,4.3
3561,1980,10,14.0,4.8
3562,1980,11,17.4,3.9
3563,1980,11,14.8,7.4
3564,1980,11,16.6,6.8
3565,1980,11,16.0,4.1
3566,1980,11,20.0,10.6
3567,1980,11,18.4,9.4
3568,1980,11,18.9,6.5
3569,1980,11,11.5,4.7
