,강릉,강화,거제,거창,고흥,광주,구미,군산,금산,남원,남해,대관령,대구,대전,목포,문경,밀양,보령,보은,부산,부안,부여,산청,서귀포,서산,서울,성산,속초,수원,양평,여수,영덕,영주,영천,완도,울산,울진,원주,의성,이천,인제,인천,임실,장흥,전주,정읍,제주,제천,진주,천안,청주,추풍령,춘천,충주,통영,포항,합천,해남,홍천
1981,29.39,23.78,50.93,44.84,52.35,55.28,57.91,32.54,44.96,56.04,51.42,0.0,66.34,51.1,45.44,41.95,68.83,38.14,37.93,48.3,41.74,50.24,52.37,59.38,36.79,37.51,46.93,10.16,39.36,46.31,34.62,35.68,40.29,55.01,35.78,53.92,18.67,42.95,57.64,43.93,28.86,25.53,37.62,50.69,55.78,53.93,44.62,33.47,62.95,45.22,52.58,37.48,40.72,46.34,50.46,46.36,66.22,49.15,44.1
1982,34.48,37.38,54.38,59.14,64.32,68.21,60.62,44.7,58.44,69.24,64.76,0.0,68.9,64.32,57.4,46.66,71.66,50.77,52.04,52.04,54.68,63.94,67.35,66.54,50.07,51.54,54.2,15.0,53.18,60.57,45.94,40.98,45.29,57.8,47.4,56.96,23.78,57.4,62.56,57.98,33.26,38.92,50.96,63.06,68.4,67.0,55.1,38.54,65.91,58.72,66.34,40.5,55.09,60.4,53.88,49.18,69.12,60.52,59.12
1983,29.6,26.24,51.38,50.81,56.96,60.96,57.91,38.39,51.18,62.34,56.1,0.0,66.04,52.47,50.36,42.94,68.68,40.45,39.58,49.0,47.56,56.81,58.52,62.04,39.33,39.88,49.26,10.45,41.86,48.22,38.65,35.56,41.76,55.32,40.01,53.7,19.66,44.78,58.35,45.92,29.6,28.3,44.06,55.76,61.28,59.82,47.96,34.85,62.82,46.96,54.18,37.81,42.44,48.26,50.96,46.54,66.15,53.94,45.61
1984,43.1,33.99,57.52,53.68,59.61,63.53,66.38,40.07,53.52,64.42,59.7,0.0,71.4,61.36,52.92,54.1,73.03,47.51,48.79,55.54,49.82,59.0,61.52,71.82,46.99,48.08,60.05,22.38,49.62,57.12,41.43,48.82,52.45,63.6,42.4,61.82,30.73,53.8,66.94,54.79,40.78,35.51,46.26,58.08,63.86,62.5,50.64,45.4,70.45,55.72,63.07,46.58,51.72,57.36,56.78,54.04,72.26,56.0,55.46
1985,52.78,44.22,68.56,69.97,73.02,72.16,69.76,59.65,68.0,71.83,73.16,0.0,73.27,68.7,70.21,64.58,74.74,57.0,60.56,65.4,67.33,69.59,72.96,98.94,57.16,59.12,67.58,31.04,60.45,65.74,57.93,57.95,62.8,69.98,61.06,72.08,38.66,65.39,70.0,65.64,51.67,45.72,66.04,71.73,71.0,70.6,68.49,56.31,73.31,66.1,68.41,60.57,63.46,66.11,66.23,69.52,74.19,70.88,65.16
1986,35.79,32.94,56.46,54.52,60.38,64.27,65.06,40.32,54.28,65.42,60.19,0.0,70.58,60.26,53.28,49.15,72.35,46.52,47.36,53.96,50.25,59.58,62.45,66.88,45.7,46.89,54.45,15.85,48.83,55.86,41.68,42.01,47.42,61.35,42.97,59.37,24.26,52.84,64.78,53.56,35.67,34.4,47.34,58.86,64.54,63.42,50.62,40.94,69.72,54.64,62.14,44.64,50.19,56.11,55.96,51.35,71.52,56.85,54.24
1987,32.25,27.08,49.92,46.02,53.9,56.62,55.96,33.52,46.1,56.92,53.26,0.0,64.62,53.68,47.26,44.5,67.28,41.08,40.81,47.83,43.5,51.54,54.18,56.28,39.98,40.45,42.92,12.77,42.05,48.84,36.53,39.23,42.44,53.05,37.59,52.83,21.99,45.19,59.94,46.18,30.44,29.0,38.86,52.35,56.7,55.26,45.85,35.23,61.54,47.54,55.0,35.42,43.29,48.92,49.86,44.72,64.6,50.27,46.5
1988,60.58,50.12,72.98,72.22,75.17,74.38,72.37,62.78,70.32,74.06,75.17,0.0,76.08,70.99,72.34,67.6,77.42,62.8,67.21,70.72,69.6,71.89,75.16,98.94,63.08,65.5,71.26,37.94,66.78,68.02,61.28,65.34,66.46,72.84,63.61,75.0,45.56,67.3,72.04,67.84,56.82,52.06,68.4,73.96,73.27,72.91,71.56,61.0,75.84,68.38,70.74,65.78,66.46,68.42,70.54,73.09,76.81,72.97,67.48
1989,35.38,40.79,58.13,64.85,69.52,71.35,65.94,49.64,64.44,70.81,69.48,0.0,71.44,67.68,62.4,47.28,73.18,53.46,55.48,56.09,59.88,68.84,71.72,74.24,53.33,55.03,61.88,16.48,56.58,64.35,50.16,40.92,46.15,62.62,51.61,61.27,24.96,60.76,63.1,61.54,34.92,42.33,57.54,68.24,70.34,69.94,58.81,39.66,70.73,62.35,67.66,45.86,58.56,63.85,57.64,53.08,72.34,65.68,62.44
1990,56.09,45.82,68.9,72.33,75.04,74.38,72.12,62.58,70.43,74.15,75.13,0.0,75.56,69.89,72.46,67.28,77.01,58.95,62.59,66.17,69.68,71.98,75.24,94.97,59.21,60.94,61.97,33.98,62.41,66.96,61.04,60.7,65.62,72.36,63.34,74.37,41.46,66.18,72.09,66.86,54.23,47.68,68.46,73.88,73.38,73.04,95.78,58.82,75.41,67.37,69.62,60.56,65.72,67.36,66.7,69.11,76.4,72.95,66.51
1991,62.24,57.17,75.95,77.9,80.0,79.76,76.2,72.07,76.01,79.66,79.84,0.0,79.66,73.56,77.13,69.89,80.86,69.68,69.8,76.72,75.14,77.33,80.68,98.94,69.46,68.72,78.55,40.2,69.38,70.69,73.18,66.62,68.86,76.66,74.97,78.42,47.92,69.94,74.45,70.56,59.61,59.3,74.26,79.03,78.84,78.56,98.92,64.01,79.24,71.16,73.31,70.47,69.08,71.0,76.32,76.72,80.4,77.95,70.19
1992,32.78,34.34,48.6,57.54,63.39,67.47,53.37,44.1,57.94,68.48,63.6,0.0,61.02,60.82,56.96,45.28,64.53,47.71,48.37,46.61,54.02,63.52,66.12,84.0,47.14,48.15,47.17,13.64,49.83,56.78,45.54,39.74,44.2,50.07,45.95,49.28,23.37,53.45,61.13,54.34,31.98,35.84,50.54,62.23,68.07,66.45,53.39,37.68,58.98,55.24,62.67,33.42,50.97,56.64,48.85,40.91,61.24,59.73,54.62
1993,30.14,30.46,50.5,46.54,53.86,57.4,57.0,34.52,47.34,58.23,53.57,0.0,64.18,57.87,47.45,43.7,67.38,44.72,44.82,48.33,43.9,52.98,54.44,58.06,43.66,44.56,44.56,11.72,46.7,53.68,36.24,35.83,42.58,52.44,36.92,51.68,20.38,50.54,59.02,51.31,30.88,32.15,40.16,52.38,57.82,56.44,44.77,36.38,62.08,52.32,59.54,36.68,47.98,53.88,50.8,42.88,64.55,50.76,51.66
1994,72.23,53.36,76.44,76.66,79.0,78.53,76.84,70.7,74.7,78.48,78.81,0.0,80.33,73.28,76.03,72.22,81.59,66.06,69.58,77.19,73.74,76.09,79.51,98.95,66.9,68.35,75.29,49.76,69.0,70.48,69.96,74.35,71.19,77.38,73.4,78.96,56.94,69.67,76.74,70.29,66.79,55.22,72.92,77.96,77.57,77.22,98.93,68.36,79.86,70.8,73.08,71.18,68.91,70.82,76.64,77.26,81.09,76.92,69.96
1995,65.0,49.8,74.22,73.95,76.66,75.87,73.32,66.2,72.04,75.64,76.66,0.0,76.92,71.97,73.83,70.07,78.23,62.64,66.8,71.32,71.32,73.54,76.94,98.92,63.32,65.06,71.17,43.04,66.28,69.0,64.6,69.7,68.94,73.84,67.41,76.05,51.08,68.24,74.56,68.86,58.96,51.87,70.04,75.56,74.94,74.59,98.67,62.92,76.65,69.48,71.7,65.53,67.43,69.38,71.25,74.26,77.7,74.44,68.53
1996,71.26,54.66,72.78,74.08,76.52,76.02,73.89,67.63,72.19,75.91,76.53,0.0,77.24,72.24,73.76,70.84,78.45,67.08,68.46,69.54,71.39,73.56,76.9,98.47,67.82,67.21,67.15,48.54,67.91,69.38,64.37,72.82,69.66,73.95,67.74,75.76,55.54,68.58,75.39,69.26,65.78,56.46,70.25,75.38,75.06,74.7,98.66,66.88,76.92,69.72,71.96,67.34,67.91,69.71,70.4,73.87,78.02,74.51,68.9
1997,42.42,30.76,66.94,66.58,70.38,70.0,70.26,51.04,65.76,69.54,70.7,0.0,73.72,57.65,62.88,54.61,75.18,44.69,44.79,64.32,61.17,67.48,70.4,99.32,43.76,44.52,67.76,21.64,46.34,53.26,50.26,47.92,53.4,70.42,52.48,72.7,29.92,50.25,67.66,50.86,42.14,32.39,58.39,68.88,68.96,68.62,60.56,47.01,73.77,52.19,59.4,58.18,47.78,53.5,65.23,65.42,74.66,66.32,51.42
