,강릉,강화,거제,거창,고흥,광주,구미,군산,금산,남원,남해,대관령,대구,대전,목포,문경,밀양,보령,보은,부산,부안,부여,산청,서귀포,서산,서울,성산,속초,수원,양평,여수,영덕,영주,영천,완도,울산,울진,원주,의성,이천,인제,인천,임실,장흥,전주,정읍,제주,제천,진주,천안,청주,추풍령,춘천,충주,통영,포항,합천,해남,홍천
1981,97.51,85.36,97.4,96.87,97.2,97.35,97.04,97.52,96.91,96.93,97.42,2.5,97.26,97.24,97.54,97.06,96.97,97.32,96.9,97.61,97.26,97.04,97.1,80.09,97.27,95.04,97.56,84.36,97.3,96.96,97.73,97.29,96.94,96.98,97.66,97.4,97.43,97.04,96.62,97.06,86.88,88.16,96.85,97.14,97.24,97.18,95.03,90.28,97.08,97.08,97.19,97.11,97.05,97.02,97.55,97.54,96.98,97.24,96.78
1982,97.48,97.18,97.37,96.84,97.15,97.26,97.02,97.46,96.88,96.88,97.32,20.68,97.23,97.16,97.46,97.06,96.96,97.26,96.86,97.57,97.22,97.0,97.02,60.96,97.2,97.36,97.56,91.52,97.22,96.9,90.1,97.27,96.96,96.97,97.58,97.36,97.47,96.97,96.64,97.0,94.04,97.48,96.86,97.09,97.16,97.1,76.0,96.82,97.06,97.02,97.09,97.13,96.99,96.96,97.52,97.5,96.96,97.2,96.73
1983,97.52,89.06,97.4,96.92,97.24,97.36,97.06,97.53,96.96,96.97,97.42,0.64,97.28,97.28,97.54,97.09,97.0,97.34,96.96,97.61,97.28,97.08,97.12,70.02,97.28,97.48,97.58,90.32,97.32,97.01,97.73,97.32,96.98,97.01,97.66,97.4,97.49,97.07,96.68,97.1,93.86,92.02,96.92,97.18,97.26,97.2,85.49,96.83,97.1,97.12,97.22,97.16,97.1,97.06,97.56,97.54,97.0,97.28,96.84
1984,97.48,92.45,97.42,96.9,97.2,97.32,97.07,97.51,96.92,96.94,97.38,21.88,97.26,97.2,97.52,97.07,97.0,97.3,96.9,95.16,97.26,97.05,97.08,56.16,97.24,97.41,97.54,93.87,97.26,96.93,93.46,97.28,96.96,97.02,97.64,97.4,97.48,97.01,96.66,97.04,96.45,95.14,96.88,97.15,97.22,97.16,81.3,96.83,97.1,97.06,97.15,97.18,97.02,97.0,97.56,97.54,97.0,97.25,96.76
1985,97.49,97.26,97.38,96.87,97.16,87.94,97.01,92.62,96.92,96.9,92.82,34.99,88.93,97.21,84.87,97.08,96.94,97.33,96.96,81.32,97.22,97.0,97.0,37.28,97.27,96.07,81.57,97.58,97.29,96.98,77.78,97.29,97.0,96.97,87.38,95.1,97.5,97.06,96.69,97.07,96.94,97.54,96.92,97.12,94.72,97.1,52.13,96.88,97.05,97.09,97.16,97.14,97.06,97.04,85.56,87.48,96.93,97.22,96.83
1986,97.52,95.52,97.4,96.88,97.2,97.32,97.06,97.5,96.92,96.94,97.38,12.94,97.26,97.2,97.52,97.09,96.99,97.28,96.89,97.29,97.26,97.04,97.08,64.3,97.24,97.42,97.57,91.7,97.26,96.94,95.04,97.32,96.99,97.02,97.63,97.4,97.5,97.0,96.68,97.02,95.21,97.53,96.88,97.15,97.22,97.16,81.54,96.84,97.09,97.05,97.15,97.16,97.03,96.99,97.54,97.54,96.99,97.24,96.77
1987,97.47,91.76,97.38,96.85,97.18,97.32,97.01,97.5,96.88,96.9,97.38,12.59,97.25,97.2,97.52,97.02,96.95,97.29,96.87,97.59,97.23,97.01,97.06,84.09,97.23,97.43,97.59,88.3,97.26,96.93,97.7,97.24,96.9,96.96,97.62,97.38,97.44,97.01,96.57,97.03,90.64,94.64,96.82,97.11,97.22,97.15,93.74,94.46,97.04,97.05,97.16,97.11,97.02,97.0,97.53,97.52,96.96,97.22,96.77
1988,97.41,97.24,94.89,96.82,97.1,83.93,96.95,88.76,96.88,96.86,89.3,51.09,84.96,97.16,81.47,97.03,96.87,97.3,96.94,78.32,97.18,96.96,96.94,22.51,97.24,96.64,70.81,97.54,97.26,96.96,74.66,97.22,96.95,96.9,84.28,91.23,97.46,97.02,96.64,97.04,96.93,97.5,96.89,97.08,90.54,97.04,46.06,96.86,97.0,97.06,97.12,97.1,97.04,97.0,82.14,83.04,96.86,97.18,96.81
1989,97.52,97.27,97.4,96.92,97.2,97.3,97.06,97.5,96.96,96.94,97.35,7.23,97.26,97.24,97.49,97.1,96.98,97.34,96.98,97.59,97.26,97.06,97.07,49.72,97.28,97.44,96.11,93.38,97.31,97.0,89.64,97.32,96.99,97.02,97.62,97.38,97.5,97.08,96.69,97.09,96.1,97.55,96.94,97.15,97.2,97.15,67.96,96.85,97.08,97.11,97.19,97.16,97.09,97.06,97.54,97.53,96.99,97.25,96.86
1990,97.49,97.29,97.38,96.86,97.14,81.97,97.02,86.84,96.91,96.88,87.61,36.42,90.91,97.22,79.74,97.1,96.94,97.34,96.98,82.55,97.21,97.0,96.98,42.6,97.3,90.4,89.43,97.6,97.3,97.0,72.73,97.3,97.01,96.97,82.4,97.38,97.52,97.07,96.71,97.08,96.98,95.34,96.92,97.11,88.25,97.08,43.74,96.9,97.06,97.11,97.17,97.15,97.08,97.05,86.86,89.55,96.94,97.22,96.86
