,강릉,강화,거제,거창,고흥,광주,구미,군산,금산,남원,남해,대관령,대구,대전,목포,문경,밀양,보령,보은,부산,부안,부여,산청,서귀포,서산,서울,성산,속초,수원,양평,여수,영덕,영주,영천,완도,울산,울진,원주,의성,이천,인제,인천,임실,장흥,전주,정읍,제주,제천,진주,천안,청주,추풍령,춘천,충주,통영,포항,합천,해남,홍천
1981,97.16,96.99,96.94,96.52,96.74,96.88,96.62,97.18,96.56,96.5,96.94,83.65,96.76,96.84,90.24,96.74,96.46,96.98,96.62,27.35,96.9,96.65,96.66,0.0,96.94,97.14,48.36,97.3,96.96,96.64,28.04,96.94,96.64,96.56,69.09,96.92,97.17,96.73,96.24,96.73,96.63,97.28,96.55,96.7,96.8,96.76,4.18,96.53,96.58,96.74,96.8,96.82,96.75,96.69,54.26,85.2,96.48,96.8,96.5
1982,97.12,96.88,96.88,96.4,96.62,96.74,96.57,97.07,96.46,96.38,95.05,96.79,96.7,96.69,59.66,96.71,96.4,96.84,96.49,25.38,96.78,96.54,96.5,0.0,96.8,96.98,27.12,97.26,96.82,96.51,13.33,96.89,96.62,96.52,33.54,96.84,97.13,96.59,96.23,96.6,96.64,97.14,96.48,96.58,96.67,96.62,0.0,96.54,96.52,96.61,96.64,96.78,96.62,96.56,33.29,75.77,96.42,96.7,96.38
1983,97.16,97.0,96.93,96.52,96.74,96.24,96.62,97.15,96.58,96.5,94.74,90.03,96.76,96.86,56.22,96.74,96.46,96.98,96.64,20.92,96.88,96.64,96.64,0.0,96.94,97.12,30.95,97.3,96.96,96.66,11.52,96.95,96.66,96.58,28.62,96.9,97.17,96.74,96.28,96.75,96.67,97.26,96.58,96.7,96.78,96.74,0.0,96.57,96.58,96.76,96.8,96.83,96.77,96.7,28.53,69.88,96.48,96.8,96.53
1984,97.08,96.92,95.18,96.48,96.7,97.28,96.56,97.13,96.53,96.45,94.2,96.82,85.78,96.75,69.0,96.68,96.4,96.9,96.54,8.23,96.84,96.6,96.59,0.0,96.85,94.12,16.74,97.24,96.88,96.56,11.24,96.86,96.6,96.52,41.96,89.78,97.12,96.64,96.22,96.65,96.62,95.72,96.54,96.66,96.74,96.7,0.0,96.52,96.52,96.66,96.7,96.78,96.66,96.6,16.64,46.06,96.42,96.76,96.42
1985,83.49,96.9,53.66,96.34,92.78,50.4,96.46,68.69,96.41,96.3,32.22,96.92,53.97,92.78,3.1,96.63,96.3,96.87,96.52,0.0,96.9,96.46,96.4,0.0,96.82,73.22,0.0,97.22,96.83,96.52,0.0,96.82,96.57,96.42,0.84,45.68,97.09,96.62,96.18,96.6,96.61,77.11,96.45,96.52,75.78,91.77,0.0,96.51,96.56,96.62,96.3,96.72,96.63,96.56,0.0,2.3,96.3,92.2,96.4
1986,97.14,96.92,95.77,96.48,96.7,93.75,96.59,97.02,96.54,96.46,91.36,96.85,86.02,96.74,61.76,96.72,96.42,96.89,96.53,9.1,96.85,96.6,96.59,0.0,96.85,97.04,22.61,97.29,96.87,96.56,8.53,96.92,96.64,96.56,35.65,89.82,97.16,96.63,96.25,96.64,96.66,97.19,96.54,96.66,96.74,96.7,0.0,96.55,96.54,96.65,96.68,96.81,96.67,96.59,16.97,50.3,96.45,96.77,96.42
1987,97.11,96.94,96.92,96.47,96.7,96.84,96.6,97.14,96.52,96.44,96.89,96.71,96.74,96.78,94.81,96.68,96.44,96.92,96.55,37.86,96.85,96.6,96.6,-0.17,96.87,97.08,51.66,97.26,96.9,96.58,33.88,96.86,96.59,96.55,75.03,96.9,97.11,96.68,96.18,96.68,96.59,97.22,96.5,96.65,96.76,96.72,9.34,96.48,96.55,96.69,96.74,96.8,96.7,96.63,65.26,94.56,96.46,96.76,96.46
1988,67.18,96.86,32.2,96.28,94.6,33.34,96.39,52.25,96.36,96.25,16.15,96.93,31.1,90.26,4.1,96.56,96.2,96.81,96.48,0.0,96.67,96.4,96.32,0.0,96.76,72.16,0.0,97.16,95.42,96.47,0.0,96.72,96.5,96.34,2.54,21.98,97.02,96.55,96.11,96.54,96.56,72.06,96.42,96.46,77.27,93.02,0.0,96.47,96.35,96.56,93.72,96.65,96.57,96.5,0.0,2.17,96.22,93.46,96.36
1989,97.14,96.92,95.76,96.43,96.62,79.35,96.58,86.9,96.48,96.39,55.35,96.84,88.34,96.72,20.14,96.74,96.4,96.89,96.56,9.81,96.79,96.54,96.5,0.0,96.84,82.54,21.98,97.28,96.86,96.56,0.0,96.93,96.65,96.54,16.89,86.38,97.15,96.64,96.27,96.64,96.66,85.18,96.5,96.59,96.65,96.62,0.0,96.56,96.52,96.65,96.68,96.8,96.66,96.6,17.9,40.5,96.43,96.7,96.44
1990,63.34,96.92,39.6,96.29,90.22,28.3,96.44,49.7,96.37,96.26,13.4,96.94,38.53,84.96,0.48,96.6,96.26,96.23,96.53,0.0,94.26,96.42,96.34,0.0,96.82,66.08,6.17,97.2,89.65,96.52,0.0,96.78,96.54,96.4,0.0,30.44,97.07,96.61,96.15,96.6,96.6,69.93,96.42,96.48,73.0,89.24,0.0,96.5,96.41,96.62,88.16,96.69,96.63,96.56,1.2,7.1,96.28,89.76,96.4
